_id,seat_id,candidate_id,uec_party_id,valid_ps_votes,valid_adv_votes,election_date
5f3f936b49e03c1a04ed869d,5f3f901b97d7fe284063b45c,5f3f90ccdf8e3c1f74099843,5f3f9035c749de0ddc9de04c,55771,2675,2012
5f3f936b49e03c1a04ed869e,5f3f901b97d7fe284063b45c,5f3f90ccdf8e3c1f74099844,5f3f9035c749de0ddc9de02e,13898,295,2012
5f3f936b49e03c1a04ed86a0,5f3f901b97d7fe284063b45c,5f3f90ccdf8e3c1f74099846,5f3f9035c749de0ddc9de044,4053,72,2012
5f3f936b49e03c1a04ed869f,5f3f901b97d7fe284063b45c,5f3f90ccdf8e3c1f74099845,5f3f9035c749de0ddc9de05b,169727,3194,2012
5f3f936b49e03c1a04ed86a1,5f3f901b97d7fe284063b45d,5f3f90ccdf8e3c1f74099847,5f3f9035c749de0ddc9de02e,39285,1286,2012
5f3f936b49e03c1a04ed86a2,5f3f901b97d7fe284063b45d,5f3f90ccdf8e3c1f74099848,5f3f9035c749de0ddc9de04c,70481,3384,2012
5f3f936b49e03c1a04ed86a3,5f3f901b97d7fe284063b45d,5f3f90ccdf8e3c1f74099849,5f3f9035c749de0ddc9de02e,28167,548,2012
5f3f936b49e03c1a04ed86a4,5f3f901b97d7fe284063b45e,5f3f90ccdf8e3c1f7409984a,5f3f9035c749de0ddc9de05b,81867,2085,2012
5f3f936b49e03c1a04ed86a5,5f3f901b97d7fe284063b45e,5f3f90ccdf8e3c1f7409984b,5f3f9035c749de0ddc9de04c,27124,1811,2012
5f3f936b49e03c1a04ed86a6,5f3f901b97d7fe284063b45f,5f3f90ccdf8e3c1f7409984c,5f3f9035c749de0ddc9de04c,33389,3133,2012
5f3f936b49e03c1a04ed86a7,5f3f901b97d7fe284063b45f,5f3f90ccdf8e3c1f7409984d,5f3f9035c749de0ddc9de02e,5404,196,2012
5f3f936b49e03c1a04ed86a8,5f3f901b97d7fe284063b45f,5f3f90ccdf8e3c1f7409984e,5f3f9035c749de0ddc9de05b,76767,2210,2012
5f3f936b49e03c1a04ed86a9,5f3f901b97d7fe284063b45f,5f3f90ccdf8e3c1f7409984f,5f3f9035c749de0ddc9de05a,1508,30,2012
5f3f936b49e03c1a04ed86aa,5f3f901b97d7fe284063b460,5f3f90ccdf8e3c1f74099850,5f3f9035c749de0ddc9de03b,47420,136,2012
5f3f936b49e03c1a04ed86ab,5f3f901b97d7fe284063b460,5f3f90ccdf8e3c1f74099851,5f3f9035c749de0ddc9de05b,45722,1173,2012
5f3f936b49e03c1a04ed86ac,5f3f901b97d7fe284063b460,5f3f90ccdf8e3c1f74099852,5f3f9035c749de0ddc9de04c,45711,5012,2012
5f3f936b49e03c1a04ed86ad,5f3f901b97d7fe284063b460,5f3f90ccdf8e3c1f74099854,5f3f9035c749de0ddc9de030,17889,102,2012
5f3f936b49e03c1a04ed86ae,5f3f901b97d7fe284063b460,5f3f90ccdf8e3c1f74099853,5f3f9035c749de0ddc9de02f,6350,46,2012
5f3f936b49e03c1a04ed86af,5f3f901b97d7fe284063b461,5f3f90ccdf8e3c1f74099855,5f3f9035c749de0ddc9de02e,8728,268,2012
5f3f936b49e03c1a04ed86b0,5f3f901b97d7fe284063b461,5f3f90ccdf8e3c1f74099856,5f3f9035c749de0ddc9de043,4024,66,2012
5f3f936b49e03c1a04ed86b1,5f3f901b97d7fe284063b461,5f3f90ccdf8e3c1f74099857,5f3f9035c749de0ddc9de05b,136413,3280,2012
5f3f936b49e03c1a04ed86b2,5f3f901b97d7fe284063b461,5f3f90ccdf8e3c1f74099858,5f3f9035c749de0ddc9de04c,49650,2895,2012
5f3f936c49e03c1a04ed86b3,5f3f901b97d7fe284063b465,5f3f90ccdf8e3c1f74099859,5f3f9035c749de0ddc9de05b,95369,980,2012
5f3f936c49e03c1a04ed86b4,5f3f901b97d7fe284063b465,5f3f90ccdf8e3c1f7409985a,5f3f9035c749de0ddc9de04c,29266,940,2012
5f3f936c49e03c1a04ed86b5,5f3f901b97d7fe284063b466,5f3f90ccdf8e3c1f7409985b,5f3f9035c749de0ddc9de05b,43946,968,2012
5f3f936c49e03c1a04ed86b6,5f3f901b97d7fe284063b466,5f3f90ccdf8e3c1f7409985c,5f3f9035c749de0ddc9de04c,20133,1218,2012
5f3f936c49e03c1a04ed86b7,5f3f901b97d7fe284063b466,5f3f90ccdf8e3c1f7409985d,5f3f9035c749de0ddc9de044,831,31,2012
5f3f936c49e03c1a04ed86b8,5f3f901b97d7fe284063b467,5f3f90ccdf8e3c1f7409985e,5f3f9035c749de0ddc9de05b,27982,895,2012
5f3f936c49e03c1a04ed86b9,5f3f901b97d7fe284063b467,5f3f90ccdf8e3c1f7409985f,5f3f9035c749de0ddc9de04c,19779,1643,2012
5f3f936c49e03c1a04ed86ba,5f3f901b97d7fe284063b467,5f3f90ccdf8e3c1f74099860,5f3f9035c749de0ddc9de02e,1828,136,2012
5f3f936c49e03c1a04ed86bb,5f3f901b97d7fe284063b469,5f3f90ccdf8e3c1f74099861,5f3f9035c749de0ddc9de04c,15448,2821,2012
5f3f936c49e03c1a04ed86bc,5f3f901b97d7fe284063b469,5f3f90ccdf8e3c1f74099862,5f3f9035c749de0ddc9de05b,35965,1139,2012
5f3f936c49e03c1a04ed86bd,5f3f901b97d7fe284063b468,5f3f90ccdf8e3c1f74099863,5f3f9035c749de0ddc9de04c,7961,1109,2012
5f3f936c49e03c1a04ed86be,5f3f901b97d7fe284063b468,5f3f90ccdf8e3c1f74099864,5f3f9035c749de0ddc9de05b,36865,1058,2012
